# CONTX Functions Raw
# Generated from source scan on 2026-02-09T08:43:18.393Z
source	name	kind
src/screens/tabs/Dashboard.js:208	DashboardAttendance	const-fn
src/screens/tabs/Dashboard.js:224	getCurrentDate	const-fn
src/screens/tabs/Dashboard.js:230	fetchBocData	const-fn
src/screens/tabs/Dashboard.js:270	fetchEodData	const-fn
src/screens/tabs/Dashboard.js:310	fetchIncidentData	const-fn
src/screens/tabs/Dashboard.js:559	Myjobs	const-fn
src/screens/tabs/Dashboard.js:568	fetchStorageData	const-fn
src/screens/tabs/Dashboard.js:621	handleClockIn	const-fn
src/screens/tabs/Dashboard.js:645	handleClockOut	const-fn
src/screens/tabs/Dashboard.js:649	handleRowPress	const-fn
src/screens/tabs/Dashboard.js:754	TaskDesign	const-fn
src/screens/tabs/Dashboard.js:765	fetchRefDbAndUserId	const-fn
src/screens/tabs/Dashboard.js:785	fetchTasks	const-fn
src/screens/tabs/Dashboard.js:802	handleButtonClick	const-fn
src/screens/tabs/Dashboard.js:811	toggleMenu	const-fn
src/screens/tabs/Dashboard.js:815	handleRowPress	const-fn
src/screens/tabs/Dashboard.js:819	handleUpdateTaskStatus	const-fn
src/screens/tabs/Dashboard.js:869	formatDate	const-fn
src/screens/tabs/Dashboard.js:944	TimeSheet	const-fn
src/screens/tabs/Dashboard.js:952	fetchAttendanceData	const-fn
src/screens/tabs/Dashboard.js:973	calculateTotalTime	const-fn
src/screens/tabs/Dashboard.js:1021	RecentActivity	const-fn
src/screens/tabs/Dashboard.js:1029	fetchRecentActivity	const-fn
src/screens/tabs/Dashboard.js:1062	formatDate	const-fn
src/screens/tabs/Dashboard.js:1092	PaySlips	const-fn
src/screens/tabs/Dashboard.js:1169	renderContent	const-fn
src/screens/tabs/Deposits.js:39	Deposits	const-fn
src/screens/tabs/Deposits.js:43	renderHeader	const-fn
src/screens/tabs/Deposits.js:60	renderMoneyboxes	const-fn
src/screens/tabs/Deposits.js:145	renderDeposits	const-fn
src/screens/tabs/Deposits.js:231	renderContent	const-fn
src/screens/tabs/Deposits.js:241	renderFooter	const-fn
src/screens/tabs/Documents.js:6	Documents	function
src/screens/tabs/Documents.js:10	handleLeadNavigation	const-fn
